ticker,year,sector,esg_tier,total_assets,total_debt,long_term_debt,current_debt,equity,cash,ppe,revenue,net_income,interest_exp,op_cashflow,market_cap,book_value,shares_out,lev,ltd_ratio,cur_ratio,cost_debt,roa,tangibility,mb,cash_ratio,ln_assets,esg_high,post,did
FANG,2022,e&p,low,26209000000.0,6379000000.0,6238000000.0,141000000.0,15009000000.0,157000000.0,23759000000.0,9566000000.0,4386000000.0,148000000.0,6325000000.0,,15009000000.0,,0.24338967530237704,0.23800984394673586,0.005379831355641192,2.3201128703558553,0.16734709450951962,0.9065206608416956,1.7462189353054833,0.005990308672593384,23.989368700177295,0,1,0
FANG,2023,e&p,low,29001000000.0,6801000000.0,6641000000.0,160000000.0,16625000000.0,582000000.0,26674000000.0,8339000000.0,3143000000.0,175000000.0,5920000000.0,,16625000000.0,,0.23450915485672907,0.22899210372056136,0.005517051136167718,2.5731510072048227,0.10837557325609462,0.9197613875383608,1.7444210526315789,0.020068273507810076,24.09059614909699,0,1,0
FANG,2024,e&p,low,67292000000.0,13329000000.0,12075000000.0,1254000000.0,37736000000.0,161000000.0,64472000000.0,11023000000.0,3338000000.0,288000000.0,6413000000.0,,37736000000.0,,0.19807703738928847,0.1794418355822386,0.018635201807049872,2.160702228224173,0.049604707840456515,0.939693871178016,1.7832308670765318,0.0023925578077631814,24.932307195803325,0,1,0
OXY,2022,e&p,low,72609000000.0,20765000000.0,20327000000.0,438000000.0,30085000000.0,984000000.0,59287000000.0,36634000000.0,13304000000.0,1030000000.0,16810000000.0,,30085000000.0,,0.2859838312054979,0.2799515211612885,0.006032310044209396,4.960269684565374,0.18322797449352007,0.8165241223539782,2.413461858068805,0.013552039003429326,25.008354718036045,0,1,0
OXY,2023,e&p,low,74008000000.0,20911000000.0,19263000000.0,1648000000.0,30250000000.0,1426000000.0,59659000000.0,23156000000.0,3332000000.0,957000000.0,12308000000.0,,30250000000.0,,0.28255053507728894,0.26028267214355205,0.022267862933736893,4.576538663861126,0.04502215976651173,0.806115555075127,2.4465454545454546,0.019268187223002917,25.02743903241543,0,1,0
OXY,2024,e&p,low,85445000000.0,26920000000.0,25448000000.0,1472000000.0,34159000000.0,2125000000.0,66618000000.0,22019000000.0,2844000000.0,1169000000.0,11439000000.0,,34159000000.0,,0.31505646907367313,0.29782901281526125,0.017227456258411843,4.342496285289747,0.03328456902100767,0.7796594300427175,2.5013905559296234,0.02486979928609047,25.171138731045282,0,1,0
PSX,2022,refining,high,76442000000.0,17190000000.0,16661000000.0,529000000.0,29494000000.0,6133000000.0,35163000000.0,169990000000.0,11024000000.0,642000000.0,10813000000.0,,29494000000.0,,0.224876376860888,0.21795609743334815,0.006920279427539834,3.7347294938917974,0.1442139138170116,0.45999581381962795,2.591781379263579,0.08023076319300908,25.059798120288082,1,1,1
PSX,2023,refining,high,75501000000.0,19359000000.0,17877000000.0,1482000000.0,30583000000.0,3323000000.0,35712000000.0,147399000000.0,7015000000.0,926000000.0,7029000000.0,,30583000000.0,,0.256407199904637,0.23677832081694283,0.019628879087694204,4.783304922774937,0.09291267665328937,0.47300035761115744,2.46872445476245,0.04401266208394591,25.04741173814679,1,1,1
PSX,2024,refining,high,72582000000.0,20062000000.0,18231000000.0,1831000000.0,27408000000.0,1738000000.0,35264000000.0,143153000000.0,2117000000.0,947000000.0,4191000000.0,,27408000000.0,,0.27640461822490425,0.2511779780110771,0.02522664021382712,4.720366862725551,0.0291670111046816,0.4858504863464771,2.648204903677758,0.023945330798269545,25.007982794152177,1,1,1
VLO,2022,refining,high,60982000000.0,12722000000.0,11302000000.0,1420000000.0,23561000000.0,4862000000.0,32092000000.0,176383000000.0,11528000000.0,562000000.0,12574000000.0,,23561000000.0,,0.20861893673543014,0.1853333770620839,0.023285559673346234,4.417544411256092,0.18903938867206715,0.5262536486176249,2.588260260600144,0.07972844445902069,24.83384457560726,1,1,1
VLO,2023,refining,high,63056000000.0,12637000000.0,10871000000.0,1766000000.0,26346000000.0,5424000000.0,31345000000.0,144766000000.0,8835000000.0,592000000.0,9229000000.0,,26346000000.0,,0.20040916011164678,0.17240230905861456,0.028006851053032224,4.6846561683943975,0.1401135498604415,0.4970978178127379,2.3933803993016016,0.0860187769601624,24.86728905739906,1,1,1
VLO,2024,refining,high,60143000000.0,11540000000.0,10419000000.0,1121000000.0,24512000000.0,4657000000.0,30412000000.0,129881000000.0,2770000000.0,556000000.0,6683000000.0,,24512000000.0,,0.19187602879803137,0.17323711820161947,0.018638910596411883,4.818024263431543,0.04605689772708378,0.5056615067422643,2.4536145561357703,0.07743212011372895,24.81999089686757,1,1,1
